service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances (Compute Engine),E2 Instance Core running in Jakarta,480.0,asia-southeast2,6F81-5844-456A,621C-41D1-4D05,14.07895,
Instances (Compute Engine),E2 Instance Ram running in Jakarta,1920.0,asia-southeast2,6F81-5844-456A,2526-CC04-D642,7.54651,
Instances (Compute Engine),Storage PD Capacity in Jakarta,20.0,asia-southeast2,6F81-5844-456A,D619-8E03-F681,1.04,
Cloud Run  (Cloud Run),CPU Allocation Time (tier 2),150000000,global,152E-C115-5142,085C-A237-027A,5.04,
Cloud Run  (Cloud Run),Memory Allocation Time (tier 2),300000000,global,152E-C115-5142,600C-3782-6708,1.05,
Cloud Run  (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Firestore  (Firestore),Cloud Firestore Read Ops Jakarta,30416.666666666668,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore  (Firestore),Cloud Firestore Entity Writes Jakarta,30416.666666666668,asia-southeast2,F17B-412E-CB64,0518-9538-C614,0,
Firestore  (Firestore),Cloud Firestore Entity Deletes Jakarta,0.0,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore  (Firestore),Cloud Firestore Storage Jakarta,20.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,3.648,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Jakarta,202.0,asia-southeast2,9662-B51E-5089,9318-73FC-60C5,10.8474,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Jakarta,378.75,asia-southeast2,9662-B51E-5089,3491-8FE0-9709,3.44662,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,10100.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,3.05767,
Standard Environment  (App Engine),Frontend Instances Jakarta,0.99,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,0,
Standard Environment  (App Engine),Out Bandwidth Jakarta,50.0,asia-southeast2,F17B-412E-CB64,8CC4-DAE0-9C1F,3.055,
Cloud Storage  (Cloud Storage),Standard Storage Jakarta,200.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,4.28408,
,,,,,,,
,,,,,Total Price:,60.29424,
,,,,,,,
"Prices are in US dollars, effective date is 2024-11-23T16:34:00.887Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVE0TldGaE5EVmhNQzA1TUdZekxUUTRZVFV0WVRNd05pMDNOamhrWkRBeE0yVmpNakFRQVE9PRokOEY2NDYyRDQtRTNGQy00RTg1LTkzNjAtRUU0QzVBMEVFOTY5,,,,,,